iter	RMSE
0	0.7852643518
1	0.7594415329
2	0.735483668
3	0.7129342287
4	0.6923004147
5	0.6723481884
6	0.6538427065
7	0.6367601153
8	0.6205737005
9	0.6054207167
10	0.5910846636
11	0.5777831797
12	0.5654329184
13	0.5538155734
14	0.5428110346
15	0.5342828772
16	0.525017201
17	0.516424395
18	0.5079290864
19	0.4998889775
20	0.4926497193
21	0.4862108294
22	0.4796885606
23	0.4739025854
24	0.4683254479
25	0.4634352075
26	0.4588399158
27	0.4539508571
28	0.4495811147
29	0.4456030396
30	0.441961765
31	0.4383396587
32	0.4350880579
33	0.4317098743
34	0.4288802984
35	0.426060655
36	0.4234050814
37	0.4210044848
38	0.4186719403
39	0.4166423598
40	0.4148186599
41	0.41296282
42	0.4109879672
43	0.4093599837
44	0.4077176881
45	0.4064120583
46	0.4051298986
47	0.403921765
48	0.40258459
49	0.401249156
50	0.4001609363
51	0.3990355516
52	0.3980804646
53	0.3971560844
54	0.3962966525
55	0.3953639866
56	0.3943432324
57	0.3934338498
58	0.3925951604
59	0.3918383102
60	0.3911451155
61	0.3903047959
62	0.389736428
63	0.3891003447
64	0.3884358797
65	0.3879004834
66	0.3871490949
67	0.3865486003
68	0.3858994201
69	0.3854994233
70	0.384958655
71	0.3844236892
72	0.3840355914
73	0.3835330797
74	0.3828928301
75	0.3823654792
76	0.3820483882
77	0.3814565943
78	0.3808172873
79	0.3802225012
80	0.3797907638
81	0.3794234176
82	0.3790948471
83	0.3787859236
84	0.3784086015
85	0.3780505464
86	0.377675037
87	0.3773071346
88	0.3770766988
89	0.3764337725
90	0.376173515
91	0.3758199613
92	0.3754799353
93	0.3752883437
94	0.3748101962
95	0.3744250125
96	0.3741342566
97	0.3738173382
98	0.3735782034
99	0.373337261
100	0.372988996
101	0.3726781321
102	0.3724736544
103	0.3722582541
104	0.3721053562
105	0.3718534063
106	0.3717687811
107	0.3713842207
108	0.3712354261
109	0.3709733696
110	0.370694223
111	0.3704177961
112	0.3701369871
113	0.3697839188
114	0.3697390044
115	0.3692274706
116	0.3689269651
117	0.3686579192
118	0.3685333587
119	0.3685271718
120	0.3685222788
121	0.3682583475
122	0.3680274463
123	0.367974635
124	0.3679706408
125	0.3676059535
126	0.3674437769
127	0.3673181241
128	0.3669604906
129	0.3667800828
130	0.3664381828
131	0.366348114
132	0.3660457012
133	0.365889786
134	0.3654678457
135	0.3651664809
136	0.3649230823
137	0.3647618787
138	0.364552785
139	0.3644035888
140	0.3641366125
141	0.3639549399
142	0.3637810117
143	0.3637726173
144	0.3636138848
145	0.3634157908
146	0.3632317107
147	0.3630221585
148	0.3627637164
149	0.3624267099
150	0.3622815258
151	0.3622111176
152	0.3620357497
153	0.3617765855
154	0.3616981609
155	0.3616345158
156	0.3614960321
157	0.3612554
158	0.3609564239
159	0.3608384941
160	0.3606632125
161	0.3604392194
162	0.3601323902
163	0.3597742562
164	0.3595934034
165	0.359239796
166	0.3590921449
167	0.3588934408
168	0.3587231688
169	0.3586901419
170	0.3586878744
171	0.3584937395
172	0.3583821387
173	0.3581762636
174	0.3580669252
175	0.3578654459
176	0.357727712
177	0.3575492542
178	0.3572345501
179	0.3570429012
180	0.3570362962
181	0.356899875
182	0.356837324
183	0.3566400265
184	0.3564767288
185	0.3562250196
186	0.3559616606
187	0.3559159381
188	0.3557254046
189	0.3556679155
190	0.3554762975
191	0.3553513313
192	0.3550458121
193	0.3549414152
194	0.3547306307
195	0.3545106435
196	0.3543166277
197	0.3542176383
198	0.3541269454
199	0.3541032803
200	0.3539264175
201	0.3537998489
202	0.3535261985
203	0.3533890638
204	0.3533087575
205	0.3529462138
206	0.3528076962
207	0.3527052609
208	0.3525054039
209	0.3523694766
210	0.3522090197
211	0.3520405304
212	0.3519939587
213	0.3517398236
214	0.3515753391
215	0.351440792
216	0.3513258222
217	0.3512810405
218	0.3511491376
219	0.3509159108
220	0.3508045955
221	0.3506459524
222	0.3504477873
223	0.3503076784
224	0.3501860783
225	0.3499941173
226	0.3498195272
227	0.3497137671
228	0.3495717216
229	0.3494575658
230	0.3492591737
231	0.3491005888
232	0.3490825412
233	0.3489220749
234	0.3488236078
235	0.3486585173
236	0.3485452654
237	0.3484816292
238	0.348346754
239	0.3481229901
240	0.3480377586
241	0.3478726227
242	0.3477755368
243	0.34762607
244	0.3475573055
245	0.3474629969
246	0.3473862995
247	0.3471802863
248	0.3470015232
249	0.3468590223
250	0.3467460223
251	0.3466587063
252	0.3466039642
253	0.3465332345
254	0.3463890956
255	0.3462696004
256	0.3461403766
257	0.3460748988
258	0.3459733728
259	0.3459366101
260	0.3458572803
261	0.3456932046
262	0.3455733831
263	0.345452544
264	0.3454199322
265	0.3453545738
266	0.3452872774
267	0.3451747237
268	0.3451723059
269	0.3451171465
270	0.3451071919
271	0.3450198351
272	0.3449779726
273	0.3448082403
274	0.3446556111
275	0.3446483412
276	0.3445540341
277	0.3444478504
278	0.3442231441
279	0.3442150022
280	0.3442134891
281	0.344086066
282	0.3440245194
283	0.3439200076
284	0.3438610231
285	0.3437184495
286	0.3435084645
287	0.3433312025
288	0.3431643185
289	0.3429512312
290	0.3428780081
291	0.3427827289
292	0.3427809017
293	0.3425582643
294	0.342547235
295	0.3425464109
296	0.3424572458
297	0.3423669414
298	0.3422075734
299	0.342156635
300	0.3420605278
301	0.341896713
302	0.3417808556
303	0.3416750033
304	0.3415544607
305	0.3414100318
306	0.3413512223
307	0.341288454
308	0.3412752194
309	0.3410809948
310	0.3409708721
311	0.3408739624
312	0.3406992152
313	0.3406884687
314	0.3404946119
315	0.3403649646
316	0.3402141291
317	0.3402025828
318	0.3401784245
319	0.3401312997
320	0.3400893179
321	0.339967192
322	0.3398057646
323	0.3397564674
324	0.3396774685
325	0.3395940592
326	0.3395055065
327	0.3393730698
328	0.3393201008
329	0.3392615412
330	0.3392034977
331	0.3391670754
332	0.3390364684
333	0.3389119613
334	0.3388326313
335	0.3387891434
336	0.3386789536
337	0.3385153481
338	0.338502289
339	0.3383293107
340	0.338247588
341	0.3382443257
342	0.3381955193
343	0.3380617022
344	0.3380185716
345	0.3379767799
346	0.3377809454
347	0.3375520709
348	0.3374289501
349	0.3373168601
350	0.3371933612
351	0.3370972728
352	0.3370238449
353	0.3369538388
354	0.3368691309
355	0.3368247148
356	0.3367035149
357	0.3365230389
358	0.3364361818
359	0.336304765
360	0.3362743579
361	0.3361446228
362	0.3361155649
363	0.3360150122
364	0.3358269328
365	0.3357921504
366	0.3357315686
367	0.3357163431
368	0.3355542546
369	0.3354210297
370	0.3352883382
371	0.3351539513
372	0.335095016
373	0.3350002002
374	0.3349984408
375	0.3349011241
376	0.3348759159
377	0.3348346864
378	0.3347825705
379	0.3346818213
380	0.3345837793
381	0.3344961666
382	0.3343634402
383	0.3341505242
384	0.3341471624
385	0.3340051053
386	0.3338958153
387	0.3337530038
388	0.3336682194
389	0.333610731
390	0.3334156054
391	0.3332827473
392	0.3332137078
393	0.3330946397
394	0.3330302888
395	0.3328854647
396	0.3328144486
397	0.3327540174
398	0.3325933139
399	0.3324869692
400	0.332436355
401	0.3323694358
402	0.3323071293
403	0.3322216342
404	0.3321443667
405	0.3320493387
406	0.3319685896
407	0.3318978373
408	0.3317984839
409	0.3316504909
410	0.3315621944
411	0.3314616101
412	0.3314029483
413	0.331325392
414	0.3312539545
415	0.3311310547
416	0.3310648376
417	0.3309893565
418	0.330897541
419	0.3307197233
420	0.3306702381
421	0.3306060412
422	0.3304996034
423	0.3304334572
424	0.3302923308
425	0.3302121934
426	0.3301652474
427	0.3300332852
428	0.3299548479
429	0.3298176725
430	0.3297731611
431	0.329669722
432	0.3294790768
433	0.3294416147
434	0.3293532531
435	0.3291716122
436	0.3291032726
437	0.3290224912
438	0.3289313658
439	0.3288713913
440	0.3287743818
441	0.3286653515
442	0.3285642618
443	0.3284136042
444	0.3283358019
445	0.3282717179
446	0.3281727695
447	0.3280973222
448	0.3280014869
449	0.3279473678
450	0.3278379007
451	0.3277673813
452	0.3276459207
453	0.3275760847
454	0.3275107922
455	0.3274602625
456	0.3273444185
457	0.3272324575
458	0.3271963794
459	0.3271684141
460	0.3271208736
461	0.3270493953
462	0.3269557899
463	0.3268512128
464	0.3267828644
465	0.3266823373
466	0.3266240827
467	0.3265077151
468	0.32646855
469	0.3263353441
470	0.3262433101
471	0.3261504763
472	0.3260734204
473	0.3260170445
474	0.3259471015
475	0.32585848
476	0.325800778
477	0.3256888605
478	0.3256006291
479	0.3254905442
480	0.3254263533
481	0.3254090759
482	0.3253588181
483	0.3252585524
484	0.3251708101
485	0.3250589161
486	0.3249949298
487	0.3249182141
488	0.3248568107
489	0.3247975425
490	0.3247278868
491	0.3246957061
492	0.3246295211
493	0.3245726063
494	0.3244909562
495	0.3244441567
496	0.3243360973
497	0.3242666133
498	0.3242194721
499	0.324135328
500	0.3240594324
501	0.3239401263
502	0.3238599473
503	0.3238164502
504	0.3237362549
505	0.3236327341
506	0.323565761
507	0.3234942755
508	0.323417935
509	0.3233455125
510	0.3231963789
511	0.3231408819
512	0.3231013673
513	0.3230111955
514	0.3229157482
515	0.3228636076
516	0.3228093665
517	0.3227618881
518	0.3226894586
519	0.322593167
520	0.3225256106
521	0.3224262159
522	0.3223471745
523	0.3222583306
524	0.3221995257
525	0.3221315772
526	0.3220611043
527	0.3219745183
528	0.321914639
529	0.3218041334
530	0.321701638
531	0.3216264468
532	0.3215720948
533	0.3215236989
534	0.3214639807
535	0.3214010117
536	0.3213237973
537	0.321238777
538	0.3211952074
539	0.3210855465
540	0.3210447492
541	0.3209805223
542	0.3209106859
543	0.3208676235
544	0.3207752405
545	0.3206604973
546	0.3205245399
547	0.3203977707
548	0.3203119914
549	0.3202087809
550	0.3201489919
551	0.3200618491
552	0.3199812071
553	0.3198933342
554	0.3198594525
555	0.3198061873
556	0.3197753078
557	0.3197188689
558	0.3196462821
559	0.3195842872
560	0.3195079107
561	0.3194599504
562	0.3193824522
563	0.3193017159
564	0.3192256408
565	0.3191423772
566	0.319030519
567	0.3189852667
568	0.3188979954
569	0.3188418999
570	0.3187744265
571	0.3186946836
572	0.3186188701
573	0.3185316157
574	0.3184125244
575	0.318376604
576	0.3182781047
577	0.3182117884
578	0.3181704246
579	0.31808757
580	0.3180466872
581	0.3179913321
582	0.317908331
583	0.3178441574
584	0.317774824
585	0.317716373
586	0.3176469523
587	0.3175868842
588	0.3175301366
589	0.3174774454
590	0.317431431
591	0.317373563
592	0.3172648841
593	0.3171527276
594	0.3171304199
595	0.3170707087
596	0.3170104691
597	0.3169366529
598	0.3168970526
599	0.316791027
600	0.3167256258
601	0.3166303843
602	0.3165392251
603	0.3164724833
604	0.3164316355
605	0.3163623346
606	0.3162637533
607	0.316176979
608	0.3161019057
609	0.3160540759
610	0.3159978922
611	0.3159465358
612	0.3158979873
613	0.3158030614
614	0.3156972932
615	0.3156251137
616	0.3155847966
617	0.3154988809
618	0.3154634277
619	0.3154042632
620	0.315359362
621	0.3153128255
622	0.315218595
623	0.315166384
624	0.3150847496
625	0.3150156102
626	0.3149714318
627	0.3149009019
628	0.3148487064
629	0.314792023
630	0.3146832829
631	0.3146222106
632	0.3145888279
633	0.3145057539
634	0.3144418068
635	0.3143856615
636	0.3143488446
637	0.3142951876
638	0.3141981152
639	0.314153912
640	0.3140758239
641	0.3140323398
642	0.3139650871
643	0.3139218757
644	0.313830774
645	0.3137651061
646	0.3136753983
647	0.3135860321
648	0.3135106774
649	0.3134554687
650	0.3134043252
651	0.3133491927
652	0.3132659736
653	0.3132032272
654	0.3131414182
655	0.3130752502
656	0.3130391755
657	0.3129883874
658	0.3129264044
659	0.3128620856
660	0.3127563542
661	0.3126975797
662	0.3125958839
663	0.3125762461
664	0.3125491991
665	0.3124993564
666	0.3124378868
667	0.3124342456
668	0.3123918214
669	0.3123076431
670	0.3122440625
671	0.3122051636
672	0.3121235183
673	0.3120910336
674	0.3120446312
675	0.3119796204
676	0.3119398104
677	0.3118875995
678	0.3118379494
679	0.3117954948
680	0.3117506843
681	0.3116980896
682	0.311605634
683	0.3114518332
684	0.3113263149
685	0.3112545427
686	0.3112400818
687	0.3111841729
688	0.3111115971
689	0.311041872
690	0.3109931987
691	0.3109644759
692	0.3109280999
693	0.3108921321
694	0.310829148
695	0.3107622068
696	0.3107148385
697	0.3106269599
698	0.3105758666
699	0.3104790694
700	0.3104390075
701	0.3103866294
702	0.3103411459
703	0.3102981793
704	0.3102439234
705	0.310176017
706	0.3101346937
707	0.3100805552
708	0.3099960742
709	0.3099318676
710	0.3098807292
711	0.309812253
712	0.3097300906
713	0.3096556895
714	0.3095964725
715	0.3095229307
716	0.3094591487
717	0.3093705709
718	0.3093150593
719	0.3092693419
720	0.3092130585
721	0.309174835
722	0.3091529176
723	0.3091195674
724	0.3090456198
725	0.308985642
726	0.3089293433
727	0.3088834682
728	0.3088327063
729	0.3088004184
730	0.3087462405
731	0.3086695721
732	0.3086195397
733	0.3085806633
734	0.3085216085
735	0.3084793476
736	0.3084117016
737	0.3083403226
738	0.3082711758
739	0.3081900185
740	0.3081707366
741	0.308127067
742	0.3079980764
743	0.3078947769
744	0.307840859
745	0.307754769
746	0.307720394
747	0.3076563926
748	0.3075843149
749	0.307527742
750	0.3074466213
751	0.3074449429
752	0.3074005554
753	0.3073638487
754	0.3072974436
755	0.3072542303
756	0.3072042624
757	0.307146672
758	0.3070852859
759	0.307013371
760	0.3069308627
761	0.3068731487
762	0.3068388125
763	0.3067744886
764	0.3067359068
765	0.3066814704
766	0.3066145517
767	0.3065638089
768	0.3064969789
769	0.3064084717
770	0.3063716828
771	0.3063289372
772	0.3062742019
773	0.306226818
774	0.3061706801
775	0.3061365862
776	0.3061073594
777	0.3060570611
778	0.3059880016
779	0.3059416148
780	0.3059007262
781	0.3058644534
782	0.3058279356
783	0.3057680237
784	0.3057027485
785	0.3056521997
786	0.3056065667
787	0.3055365517
788	0.3055081991
789	0.3054605441
790	0.3054171103
791	0.3053765362
792	0.3053400756
793	0.3053217808
794	0.3052505249
795	0.3052422676
796	0.3052067345
797	0.3051685125
798	0.3051174551
799	0.305070153
