iter	Passed	Remaining
0	81	64727
1	137	54811
2	202	53742
3	259	51655
4	308	49037
5	370	49021
6	423	47961
7	473	46842
8	525	46158
9	576	45552
10	629	45146
11	695	45657
12	761	46127
13	814	45734
14	878	45993
15	907	44483
16	963	44398
17	1014	44085
18	1067	43894
19	1117	43575
20	1165	43244
21	1217	43043
22	1272	42978
23	1333	43125
24	1398	43339
25	1454	43313
26	1509	43204
27	1561	43055
28	1615	42939
29	1669	42862
30	1725	42798
31	1788	42932
32	1845	42888
33	1903	42878
34	1961	42866
35	2021	42910
36	2082	42951
37	2142	42956
38	2200	42942
39	2258	42907
40	2313	42836
41	2368	42750
42	2424	42684
43	2485	42698
44	2548	42760
45	2601	42635
46	2656	42559
47	2709	42445
48	2759	42293
49	2810	42160
50	2858	41982
51	2909	41857
52	2962	41757
53	3011	41599
54	3058	41427
55	3108	41301
56	3164	41249
57	3219	41187
58	3269	41059
59	3317	40916
60	3374	40877
61	3431	40844
62	3480	40711
63	3532	40625
64	3580	40486
65	3626	40329
66	3681	40280
67	3741	40274
68	3800	40263
69	3848	40139
70	3898	40028
71	3948	39920
72	3999	39828
73	4051	39750
74	4100	39633
75	4147	39514
76	4202	39463
77	4266	39494
78	4315	39389
79	4366	39299
80	4416	39204
81	4468	39127
82	4526	39102
83	4575	39001
84	4625	38909
85	4675	38820
86	4724	38718
87	4773	38619
88	4826	38560
89	4886	38551
90	4942	38511
91	4991	38415
92	5041	38324
93	5090	38236
94	5139	38137
95	5186	38031
96	5235	37945
97	5286	37871
98	5344	37843
99	5403	37821
100	5456	37764
101	5507	37688
102	5555	37590
103	5603	37501
104	5652	37412
105	5708	37374
106	5741	37188
107	5791	37105
108	5838	37013
109	5886	36925
110	5935	36840
111	5983	36757
112	6031	36669
113	6085	36618
114	6103	36358
115	6162	36337
116	6214	36277
117	6267	36223
118	6314	36133
119	6335	35900
120	6346	35612
121	6399	35561
122	6463	35576
123	6495	35411
124	6505	35129
125	6560	35093
126	6612	35039
127	6665	34995
128	6722	34965
129	6782	34954
130	6847	34967
131	6897	34904
132	6950	34854
133	7001	34800
134	7050	34730
135	7098	34658
136	7148	34593
137	7197	34527
138	7250	34478
139	7304	34436
140	7350	34354
141	7396	34273
142	7443	34198
143	7453	33953
144	7512	33936
145	7560	33865
146	7609	33802
147	7660	33747
148	7711	33692
149	7760	33630
150	7808	33562
151	7859	33505
152	7905	33432
153	7954	33365
154	8000	33293
155	8048	33225
156	8098	33166
157	8144	33093
158	8191	33022
159	8238	32953
160	8286	32887
161	8344	32862
162	8401	32832
163	8449	32767
164	8495	32695
165	8542	32627
166	8586	32546
167	8633	32476
168	8680	32411
169	8707	32268
170	8719	32073
171	8767	32010
172	8814	31945
173	8864	31891
174	8913	31833
175	8964	31783
176	9015	31731
177	9065	31678
178	9112	31613
179	9158	31546
180	9170	31363
181	9216	31295
182	9261	31227
183	9307	31158
184	9356	31104
185	9403	31040
186	9450	30978
187	9495	30911
188	9546	30862
189	9601	30824
190	9648	30762
191	9696	30705
192	9744	30646
193	9800	30613
194	9858	30587
195	9910	30539
196	9961	30492
197	10008	30430
198	10058	30378
199	10101	30304
200	10174	30321
201	10240	30314
202	10305	30307
203	10367	30289
204	10430	30275
205	10494	30261
206	10560	30254
207	10623	30236
208	10688	30223
209	10757	30224
210	10821	30206
211	10874	30160
212	10922	30100
213	10970	30040
214	11019	29983
215	11068	29926
216	11116	29865
217	11163	29803
218	11210	29741
219	11259	29683
